"PPN","TITLE","PUB_PLACE","SCOPE","START","END"
"37631091X","De maasbode","Rotterdam","Regional",1871,1939
"376311770","Tilburgsche courant","Tilburg","Regional",1897,1925
"376312912","Delftsche courant : nieuwsblad voor Delft en Delfland","Delft","Regional",1867,1945
"398540756","Provinciale Drentsche en Asser courant","Assen","Regional",1870,1950
"398541485","Haagsche courant","Den Haag","Regional",1884,1939
"398543062","Provinciale Overijsselsche en Zwolsche courant","Zwolle","Regional",1870,1939
"398825769","De grondwet","Roosendaal","Regional",1870,1955
"398831475","Provinciale Noordbrabantsche en 's Hertogenbossche courant","Den Bosch","Regional",1865,1941
"398831920","Tubantia","Enschede","Regional",1872,1914
"399290591","Nieuwe Apeldoornsche courant","Apeldoorn","Regional",1911,1944
"400336960","Provinciale Geldersche en Nijmeegsche courant","Nijmegen","Regional",1907,1941
"400337010","Venloosch weekblad","Venlo","Regional",1865,1898
"400337029","Venloosche courant","Venlo","Regional",1887,1908
"400337088","Apeldoornsche courant","Apeldoorn","Regional",1865,1924
"400337266","Eindhovensch dagblad","Eindhoven","Regional",1914,1936
"400337274","De Peel- en Kempenbode","Eindhoven","Regional",1893,1911
"400337282","De Zuid-Willemsvaart","Helmond","Regional",1881,1944
"400337452","Bredasche courant","Breda","Regional",1914,1939
"400337789","Arnhemsche courant","Arnhem","Regional",1865,1950
"400383756","Nieuwe Tilburgsche Courant","Tilburg","Regional",1894,1917
"400915138","Nieuwe Venlosche courant","Venlo","Regional",1909,1941
"401028933","Limburger koerier : provinciaal dagblad","Heerlen","Regional",1924,1939
"832005797","Nieuwsblad van Friesland : Hepkema's courant","Heerenveen","Regional",1901,1994
"832401439","De Gooi- en Eemlander : nieuws- en advertentieblad","Hilversum","Regional",1871,1950
"83245351X","Limburgsch dagblad","Heerlen","Regional",1918,1994
"83249562X","Het nieuws van den dag : kleine courant","Amsterdam","Regional",1870,1914
"832564818","Rotterdamsch nieuwsblad","Rotterdam","Regional",1878,1944
"832915580","De Graafschap-bode : nieuws- en advertentieblad voor stad- en ambt-Doetinchem, Hummelo en Keppel, Wehl, Zeddam, 's Heerenberg, Ulft, Gendringen, Sillevolde, Terborg, Varsseveld, Dinxperlo, Aalten, Breedevoorde, Lichtenvoorde, Groenlo, Neede, Eibergen, Bor","Doetinchem","Regional",1879,1947
"833013246","Nieuwsblad van het Noorden","Groningen","Regional",1888,1994
"852115210","Leeuwarder courant","Leeuwarden","Regional",1865,1942
"852121741","Middelburgsche courant","Middelburg","Regional",1865,1928
